סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1419 ,ניצן ב' ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,585 ,59 ,120 ,277 ,35 ,49 ,45
2002 ,תנובות ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,882 ,71 ,169 ,294 ,113 ,105 ,130
2003 ,תלמי אלעזר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1014 ,73 ,242 ,332 ,149 ,94 ,124
2006 ,כנות ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,60 ,8 ,14 ,21 ,2 ,7 ,8
2008 ,שדה יצחק ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,612 ,43 ,122 ,220 ,95 ,58 ,74
2009 ,יובל ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,818 ,52 ,144 ,365 ,86 ,62 ,109
2010 ,כפר בן נון ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,838 ,63 ,216 ,249 ,138 ,58 ,114
2011 ,ינון ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1192 ,101 ,256 ,420 ,141 ,136 ,138
2012 ,אורות ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,600 ,34 ,105 ,194 ,67 ,77 ,123
2013 ,בן שמן )מושב( ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,927 ,61 ,220 ,279 ,147 ,93 ,127
2014 ,גבעולים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,491 ,54 ,126 ,169 ,58 ,26 ,58
2015 ,שדי חמד ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1041 ,71 ,220 ,320 ,191 ,96 ,143
2016 ,רוויה ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,411 ,31 ,113 ,138 ,60 ,24 ,45
2018 ,גבעת חיים )איחוד( ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1471 ,98 ,322 ,402 ,226 ,96 ,327
2021 ,אשל הנשיא ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,136 ,13 ,22 ,50 ,18 ,18 ,15
2023 ,להב ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,801 ,50 ,211 ,245 ,113 ,54 ,128
2024 ,אום אל-קוטוף ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1233 ,121 ,292 ,528 ,113 ,95 ,84
2026 ,ירדנה ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,449 ,42 ,106 ,155 ,52 ,37 ,57
2029 ,מדרך עוז ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,838 ,43 ,213 ,254 ,138 ,70 ,120
2030 ,מנוחה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,673 ,66 ,152 ,253 ,67 ,65 ,70
2033 ,בית חלקיה ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,1030 ,151 ,383 ,345 ,53 ,38 ,60
2034 ,חצור הגלילית ,21 ,צפת ,21 ,צפת ,0 , ,11439 ,1265 ,2583 ,4018 ,1036 ,948 ,1589
2035 ,עדנים ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,446 ,30 ,111 ,140 ,55 ,33 ,77
2038 ,ברקת ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,2076 ,293 ,557 ,771 ,145 ,151 ,159
2039 ,קרית יערים)מוסד( ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,45 ,3 ,16 ,13 ,3 ,2 ,8
2042 ,עין גדי ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,619 ,29 ,95 ,183 ,98 ,70 ,144
2043 ,בחן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1164 ,64 ,375 ,295 ,243 ,84 ,103
2044 ,מלילות ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,457 ,47 ,112 ,158 ,44 ,34 ,62
2045 ,נחלה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,759 ,73 ,195 ,258 ,86 ,61 ,86
2046 ,סגולה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,646 ,36 ,167 ,205 ,103 ,45 ,90
2047 ,ניר משה ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,612 ,40 ,130 ,201 ,79 ,53 ,109
2048 ,ניר עקיבא ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,746 ,60 ,215 ,247 ,105 ,48 ,71
2049 ,שדה צבי ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,746 ,62 ,211 ,252 ,106 ,54 ,61
2050 ,תלמי ביל"ו ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,557 ,57 ,129 ,202 ,46 ,39 ,84
2051 ,רווחה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,595 ,54 ,133 ,195 ,64 ,62 ,87
2052 ,אביטל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,606 ,38 ,136 ,211 ,78 ,47 ,96
2053 ,פרזון ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,444 ,37 ,94 ,151 ,40 ,57 ,65
2054 ,מיטב ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,533 ,47 ,109 ,194 ,62 ,52 ,69
2055 ,מאור ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1603 ,132 ,431 ,547 ,236 ,130 ,127
2057 ,שדי תרומות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,579 ,56 ,101 ,210 ,78 ,63 ,71
2059 ,פעמי תש"ז ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,610 ,61 ,146 ,215 ,70 ,42 ,76
2060 ,ברוש ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,570 ,41 ,160 ,194 ,85 ,31 ,59
2061 ,תדהר ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,739 ,60 ,229 ,267 ,84 ,52 ,47
2062 ,תאשור ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,440 ,31 ,91 ,169 ,37 ,54 ,58
2063 ,דישון ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,419 ,40 ,55 ,164 ,30 ,54 ,76
2064 ,זרועה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,569 ,59 ,153 ,189 ,65 ,51 ,52
2100 ,טירת כרמל ,31 ,חיפה ,31 ,חיפה ,0 , ,32581 ,3132 ,5898 ,11733 ,3473 ,2800 ,5545
2200 ,דימונה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,42390 ,3606 ,8076 ,15200 ,4825 ,3941 ,6742
2300 ,קרית טבעון ,31 ,חיפה ,31 ,חיפה ,0 , ,19824 ,1108 ,3690 ,5947 ,2734 ,1940 ,4405
2400 ,אור יהודה ,52 ,רמת גן ,52 ,רמת גן ,0 , ,40504 ,3582 ,7741 ,14348 ,4523 ,3789 ,6521
2500 ,נשר ,31 ,חיפה ,31 ,חיפה ,0 , ,24903 ,1327 ,3598 ,8383 ,3140 ,2734 ,5721
2530 ,באר יעקב ,43 ,רמלה ,43 ,רמלה ,0 , ,32970 ,3689 ,9178 ,11799 ,3607 ,1759 ,2938
2550 ,גדרה ,44 ,רחובות ,44 ,רחובות ,0 , ,30880 ,2350 ,7845 ,10380 ,4569 ,2257 ,3479
2560 ,ערד ,62 ,באר שבע ,62 ,באר שבע ,0 , ,33999 ,3860 ,6952 ,10814 ,3443 ,2779 ,6151
2600 ,אילת ,62 ,באר שבע ,63 ,אילת ,0 , ,69344 ,3893 ,10692 ,26357 ,9958 ,7541 ,10903
2610 ,בית שמש ,11 ,ירושלים ,13 ,בית שמש ,0 , ,175936 ,30962 ,57624 ,62213 ,10685 ,6258 ,8194
2620 ,קרית אונו ,52 ,רמת גן ,52 ,רמת גן ,0 , ,45610 ,2896 ,10061 ,13634 ,7004 ,3746 ,8269
2630 ,קרית גת ,61 ,אשקלון ,61 ,אשקלון ,0 , ,73202 ,8486 ,16059 ,26184 ,6384 ,5554 ,10535
2640 ,ראש העין ,42 ,פתח תקווה ,349 ,ראש העין ,0 , ,76433 ,8364 ,17402 ,28234 ,7908 ,6460 ,8065
2650 ,רמת השרון ,51 ,תל אביב ,57 ,הרצליה ,0 , ,52601 ,2911 ,10704 ,14093 ,8147 ,4887 ,11859
2660 ,יבנה ,44 ,רחובות ,44 ,רחובות ,0 , ,59382 ,5975 ,14401 ,20975 ,6216 ,3908 ,7907
2710 ,אום אל-פחם ,32 ,חדרה ,23 ,עפולה ,0 , ,60385 ,5673 ,14997 ,25328 ,6650 ,4335 ,3402
2720 ,טירה ,41 ,השרון ,41 ,נתניה ,0 , ,28725 ,2359 ,6076 ,12178 ,3220 ,2409 ,2483
2730 ,טייבה ,41 ,השרון ,41 ,נתניה ,0 , ,47480 ,4044 ,11321 ,19669 ,5343 ,3771 ,3332
2742 ,זבארגה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,18 ,0 ,0 ,1 ,6 ,10 ,1
2800 ,קרית שמונה ,21 ,צפת ,21 ,צפת ,0 , ,25706 ,1590 ,4162 ,9904 ,2905 ,2604 ,4541
3000 ,ירושלים ,11 ,ירושלים ,11 ,ירושלים ,0 , ,1072287 ,119293 ,270522 ,385105 ,95420 ,71494 ,130453
3400 ,חברון ,77 ,חברון ,11 ,ירושלים ,0 , ,612 ,75 ,196 ,240 ,35 ,29 ,37
3488 ,כפר עציון ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1075 ,116 ,375 ,333 ,123 ,30 ,98
3555 ,נתיב הגדוד ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,227 ,19 ,49 ,80 ,24 ,9 ,46
3556 ,אלמוג ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,316 ,24 ,91 ,110 ,48 ,30 ,13
3557 ,קדומים ,73 ,טול כרם ,47 ,כפר סבא ,0 , ,4801 ,457 ,1558 ,1668 ,425 ,195 ,498
3558 ,תומר ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,382 ,43 ,87 ,138 ,20 ,22 ,72
3560 ,אלקנה ,73 ,טול כרם ,349 ,ראש העין ,0 , ,4540 ,528 ,1112 ,1626 ,405 ,236 ,633
3561 ,מגדל עוז ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,413 ,57 ,80 ,192 ,34 ,32 ,18
3563 ,תקוע ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,4805 ,548 ,1805 ,1632 ,371 ,163 ,286
3564 ,כוכב השחר ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2836 ,417 ,1005 ,1013 ,158 ,130 ,113
3565 ,רימונים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,759 ,75 ,184 ,280 ,88 ,61 ,71
3566 ,יפית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,275 ,29 ,73 ,95 ,32 ,11 ,35
3567 ,סלעית ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,1544 ,115 ,576 ,427 ,238 ,76 ,112
3568 ,ריחן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,466 ,48 ,148 ,155 ,50 ,36 ,29
3569 ,מבוא דותן ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,790 ,152 ,262 ,269 ,41 ,15 ,51
3570 ,אריאל ,73 ,טול כרם ,48 ,אריאל ,0 , ,21426 ,1364 ,3929 ,7607 ,2578 ,2235 ,3713
3571 ,שבי שומרון ,72 ,שכם ,41 ,נתניה ,72 ,שומרון ,1170 ,176 ,388 ,396 ,75 ,28 ,107
3572 ,כפר תפוח ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1543 ,263 ,540 ,571 ,75 ,24 ,70
3573 ,נוה צוף ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1456 ,177 ,421 ,529 ,112 ,81 ,136
3574 ,בית אל ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,6321 ,837 ,1783 ,2356 ,489 ,360 ,496
3575 ,בית חורון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1516 ,159 ,480 ,521 ,155 ,80 ,121
3576 ,מצפה יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,73 ,מטה בנימין ,2882 ,416 ,948 ,1050 ,178 ,108 ,182
3578 ,שדמות מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,792 ,86 ,255 ,302 ,55 ,44 ,50
3579 ,אלון מורה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1975 ,347 ,678 ,676 ,88 ,56 ,130
3598 ,ארגמן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,173 ,15 ,34 ,56 ,15 ,13 ,40
3599 ,מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,792 ,97 ,278 ,271 ,62 ,14 ,70
3601 ,קליה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,533 ,48 ,113 ,207 ,48 ,49 ,68
3602 ,ראש צורים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1113 ,122 ,411 ,390 ,123 ,21 ,46
3603 ,הר גילה ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1704 ,114 ,487 ,579 ,235 ,101 ,188
3604 ,אלון שבות ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3398 ,295 ,799 ,1307 ,351 ,261 ,385
3605 ,משואה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,404 ,76 ,91 ,144 ,42 ,6 ,45
3606 ,גלגל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,227 ,25 ,41 ,90 ,17 ,32 ,22
3607 ,ייט"ב ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,333 ,48 ,98 ,115 ,27 ,17 ,28
3608 ,מעלה אפרים ,75 ,ירדן )יריחו( ,23 ,עפולה ,0 , ,1830 ,205 ,442 ,623 ,145 ,163 ,252
3609 ,חמרה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,267 ,35 ,69 ,85 ,32 ,10 ,36
3610 ,מצפה שלם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,240 ,21 ,38 ,95 ,27 ,39 ,20
3611 ,קרית ארבע ,77 ,חברון ,11 ,ירושלים ,0 , ,8334 ,920 ,2185 ,3081 ,691 ,463 ,994
3612 ,בקעות ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,229 ,16 ,63 ,62 ,44 ,8 ,36
3613 ,גיתית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,591 ,56 ,256 ,192 ,42 ,13 ,32
3614 ,מכורה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,221 ,18 ,59 ,70 ,30 ,7 ,37
3615 ,פצאל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,451 ,62 ,104 ,157 ,44 ,9 ,75
3616 ,מעלה אדומים ,76 ,בית לחם ,11 ,ירושלים ,0 , ,40656 ,3120 ,8545 ,14930 ,4696 ,3792 ,5573
3617 ,עופרה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3258 ,276 ,894 ,1263 ,353 ,229 ,243
3618 ,אלעזר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2845 ,273 ,824 ,1046 ,364 ,172 ,166
3619 ,רועי ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,177 ,11 ,31 ,57 ,26 ,9 ,43
3620 ,נערן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,135 ,25 ,29 ,63 ,9 ,4 ,5
3638 ,כפר אדומים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5070 ,513 ,1629 ,1822 ,555 ,293 ,258
3639 ,ורד יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,437 ,32 ,132 ,148 ,67 ,17 ,41
3640 ,קרני שומרון ,73 ,טול כרם ,48 ,אריאל ,0 , ,10799 ,1195 ,2927 ,3958 ,842 ,697 ,1180
3641 ,שילה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5652 ,961 ,2215 ,1899 ,273 ,117 ,187
3643 ,חיננית ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1859 ,221 ,662 ,649 ,171 ,93 ,63
3644 ,גבעון החדשה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1259 ,111 ,176 ,491 ,123 ,152 ,206
3645 ,בית הערבה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,544 ,106 ,177 ,208 ,41 ,7 ,5
3646 ,חמדת ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,360 ,46 ,134 ,135 ,36 ,9 ,0
3647 ,יקיר ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2913 ,381 ,1044 ,1027 ,242 ,88 ,131
3648 ,מתתיהו ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,957 ,100 ,293 ,363 ,80 ,42 ,79
3649 ,שקד ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,1175 ,114 ,358 ,412 ,135 ,61 ,95
3650 ,אפרת ,76 ,בית לחם ,11 ,ירושלים ,0 , ,13564 ,1305 ,4082 ,4923 ,1071 ,870 ,1313
3651 ,מעלה מכמש ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2113 ,263 ,703 ,773 ,184 ,106 ,84
3652 ,בית אריה ,74 ,ראמאללה ,349 ,ראש העין ,0 , ,5812 ,369 ,1445 ,2048 ,879 ,531 ,540
3653 ,מעלה עמוס ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1341 ,340 ,414 ,503 ,34 ,27 ,23
3654 ,ברקן ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2290 ,172 ,534 ,788 ,370 ,181 ,245
3655 ,ניל"י ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,2189 ,161 ,638 ,764 ,312 ,175 ,139
3656 ,כרמל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,612 ,105 ,192 ,224 ,25 ,31 ,35
3657 ,מעון ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,693 ,111 ,255 ,254 ,27 ,38 ,8
3658 ,עטרת ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,749 ,100 ,294 ,259 ,44 ,33 ,19
3659 ,פסגות ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2319 ,392 ,761 ,833 ,151 ,75 ,107
3660 ,עמנואל ,73 ,טול כרם ,349 ,ראש העין ,0 , ,5617 ,1095 ,1721 ,1991 ,299 ,212 ,299
3709 ,מבוא חורון ,74 ,ראמאללה ,43 ,רמלה ,73 ,מטה בנימין ,2685 ,283 ,1084 ,871 ,285 ,56 ,106
3710 ,ברכה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3198 ,523 ,1270 ,1097 ,159 ,71 ,78
3712 ,ענב ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,1223 ,193 ,429 ,416 ,59 ,38 ,88
3713 ,נעמ"ה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,323 ,56 ,68 ,140 ,10 ,16 ,33
3715 ,עלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1554 ,120 ,389 ,586 ,200 ,136 ,123
3717 ,חרמש ,71 ,ג'נין ,32 ,חדרה ,72 ,שומרון ,288 ,17 ,52 ,92 ,37 ,37 ,53
3719 ,תלם ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,596 ,95 ,239 ,201 ,34 ,17 ,10
3722 ,אשכולות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,635 ,39 ,189 ,243 ,87 ,47 ,30
3723 ,פני חבר ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,618 ,101 ,243 ,196 ,41 ,22 ,15
3724 ,נגוהות ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,588 ,108 ,225 ,212 ,39 ,4 ,0
3725 ,נווה דניאל ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2725 ,243 ,796 ,1028 ,266 ,203 ,189
3726 ,נוקדים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3238 ,521 ,1075 ,1165 ,233 ,108 ,136
3727 ,עלי זהב ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,5393 ,974 ,2217 ,1843 ,231 ,68 ,60
3730 ,גבעת זאב ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,24013 ,3478 ,7074 ,8588 ,1606 ,1254 ,2013
3743 ,טנא ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון ,1172 ,169 ,427 ,401 ,88 ,41 ,46
3744 ,ברוכין ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2682 ,549 ,1070 ,906 ,134 ,5 ,18
3745 ,מצדות יהודה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,726 ,117 ,239 ,260 ,30 ,41 ,39
3746 ,קרית נטפים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,943 ,122 ,346 ,340 ,80 ,24 ,31
3747 ,דולב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1666 ,223 ,537 ,615 ,111 ,104 ,76
3748 ,עתניאל ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,939 ,104 ,307 ,379 ,60 ,50 ,39
3749 ,יצהר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,2326 ,513 ,904 ,771 ,94 ,26 ,18
3750 ,אלפי מנשה ,73 ,טול כרם ,349 ,ראש העין ,0 , ,8673 ,474 ,2060 ,2823 ,1482 ,741 ,1093
3751 ,מגדלים ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,675 ,171 ,179 ,253 ,30 ,22 ,20
3752 ,מעלה לבונה ,74 ,ראמאללה ,48 ,אריאל ,73 ,מטה בנימין ,931 ,173 ,267 ,348 ,54 ,42 ,47
3754 ,אספר ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1332 ,295 ,501 ,454 ,38 ,21 ,23
3756 ,סוסיה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,1647 ,257 ,560 ,621 ,72 ,80 ,57
3759 ,אדורה ,77 ,חברון ,13 ,בית שמש ,78 ,הר חברון ,569 ,77 ,213 ,202 ,30 ,27 ,20
3760 ,אורנית ,73 ,טול כרם ,349 ,ראש העין ,0 , ,10131 ,642 ,2601 ,3276 ,1567 ,901 ,1144
3762 ,איתמר ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1596 ,272 ,589 ,549 ,81 ,63 ,42
3763 ,גבע בנימין ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6231 ,659 ,1840 ,2334 ,656 ,379 ,363
3764 ,חגי ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,841 ,149 ,285 ,314 ,42 ,34 ,17
3765 ,עלי ,72 ,שכם ,48 ,אריאל ,73 ,מטה בנימין ,4561 ,729 ,1442 ,1710 ,324 ,169 ,187
3766 ,כרמי צור ,77 ,חברון ,11 ,ירושלים ,76 ,גוש עציון ,1126 ,118 ,411 ,430 ,95 ,49 ,23
3767 ,נחליאל ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,771 ,102 ,324 ,259 ,26 ,31 ,29
3768 ,פדואל ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,2286 ,275 ,818 ,832 ,192 ,107 ,62
3769 ,הר אדר ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,4505 ,211 ,999 ,1429 ,760 ,486 ,620
3770 ,חשמונאים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3008 ,236 ,543 ,1179 ,262 ,340 ,448
3777 ,סנסנה ,77 ,חברון ,62 ,באר שבע ,78 ,הר חברון ,833 ,118 ,330 ,284 ,97 ,2 ,2
3779 ,כוכב יעקב ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3765 ,486 ,1035 ,1529 ,289 ,231 ,195
3780 ,ביתר עילית ,76 ,בית לחם ,11 ,ירושלים ,0 , ,71035 ,12628 ,26870 ,24534 ,4279 ,1524 ,1200
3781 ,קדר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1603 ,143 ,381 ,621 ,235 ,138 ,85
3782 ,רותם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,304 ,43 ,124 ,95 ,38 ,4 ,0
3784 ,שמעה ,77 ,חברון ,11 ,ירושלים ,78 ,הר חברון ,1077 ,225 ,346 ,374 ,58 ,42 ,32
3785 ,משכיות ,75 ,ירדן )יריחו( ,11 ,ירושלים ,75 ,ערבות הירדן ,354 ,68 ,170 ,105 ,10 ,1 ,0
3786 ,אבנת ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,270 ,45 ,119 ,92 ,14 ,0 ,0
3787 ,נעלה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2883 ,201 ,908 ,958 ,499 ,149 ,168
3788 ,טלמון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6139 ,870 ,2453 ,2094 ,515 ,166 ,41
3790 ,נופים ,73 ,טול כרם ,48 ,אריאל ,72 ,שומרון ,1376 ,203 ,453 ,477 ,93 ,67 ,83
3791 ,צופים ,73 ,טול כרם ,42 ,פתח תקוה ,72 ,שומרון ,2771 ,311 ,808 ,1020 ,287 ,186 ,159
3793 ,אבני חפץ ,73 ,טול כרם ,41 ,נתניה ,72 ,שומרון ,2599 ,389 ,735 ,1047 ,223 ,145 ,60
3794 ,בת עין ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1907 ,270 ,622 ,700 ,135 ,90 ,90
3795 ,רבבה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,3304 ,459 ,1271 ,1176 ,279 ,94 ,25
3796 ,כפר האורנים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,2390 ,53 ,548 ,869 ,468 ,356 ,96
3797 ,מודיעין עילית ,74 ,ראמאללה ,11 ,ירושלים ,0 , ,88272 ,16091 ,36931 ,28003 ,4924 ,1181 ,1142
3815 ,תל ציון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6974 ,1437 ,2544 ,2436 ,375 ,77 ,105
3822 ,רחלים ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,1202 ,233 ,507 ,411 ,42 ,4 ,5
