סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1214 ,טפחות ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,461 ,60 ,140 ,174 ,31 ,20 ,36
1219 ,גורנות הגליל ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,335 ,27 ,75 ,133 ,28 ,27 ,45
1220 ,אבירים ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,372 ,52 ,74 ,155 ,19 ,31 ,41
1221 ,צורית ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1011 ,60 ,199 ,369 ,130 ,115 ,138
1222 ,מצפה אבי"ב ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1153 ,72 ,324 ,390 ,173 ,101 ,93
1223 ,שדי אברהם ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,395 ,22 ,89 ,143 ,64 ,43 ,34
1224 ,כוכב יאיר ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,10558 ,548 ,2161 ,3361 ,1319 ,1342 ,1827
1225 ,רביד ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,129 ,21 ,21 ,58 ,18 ,11 ,0
1226 ,יובלים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1408 ,62 ,295 ,437 ,212 ,129 ,273
1227 ,יתד ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,668 ,79 ,195 ,234 ,72 ,36 ,52
1228 ,רקפת ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1101 ,57 ,249 ,405 ,156 ,134 ,100
1229 ,כלנית ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,306 ,49 ,72 ,120 ,3 ,24 ,38
1230 ,לבנים ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,574 ,48 ,141 ,203 ,65 ,43 ,74
1231 ,פרי גן ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,262 ,14 ,63 ,92 ,37 ,15 ,41
1232 ,יבול ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,398 ,26 ,134 ,125 ,56 ,5 ,52
