id_binyan,t_sug_mivne,ms_komot,gova_simplex_2019,max_height,min_height,shem_mivne,t_amudim,id_binyan_orig,UniqueId,year
34991,מבנה רגיל,2.0,9.15,42.89,33.74, ,לא,100430,513-34991,1997.0
34992,מבנה רגיל,2.0,10.12,43.22,33.1, ,לא,100434,513-34992,1997.0
34993,מבנה רגיל,2.0,10.49,51.03,40.54, ,לא,90416,513-34993,1999.0
34994,מבנה רגיל,2.0,15.05,53.65,38.6, ,כן,93239,513-34994,1980.0
34995,מבנה רגיל,2.0,11.36,41.71,30.35, ,כן,90910,513-34995,1971.0
34996,מבנה רגיל,2.0,15.34,45.76,30.42, ,כן,91079,513-34996,1973.0
34997,מבנה רגיל,2.0,14.36,44.93,30.57, ,כן,90915,513-34997,1973.0
34998,מבנה רגיל,2.0,10.78,48.97,38.19, ,לא,90981,513-34998,1996.0
34999,מבנה רגיל,2.0,8.4,42.11,33.71, ,לא,100423,513-34999,1986.0
35000,מבנה רגיל,2.0,14.87,45.5,30.63, ,כן,90917,513-35000,1973.0
35001,מבנה רגיל,2.0,14.94,45.72,30.78, ,כן,91025,513-35001,1974.0
35002,מבנה רגיל,2.0,10.27,43.09,32.82, ,לא,100427,513-35002,1997.0
35003,מבנה רגיל,2.0,17.29,48.23,30.94, ,כן,90918,513-35003,1976.0
35004,מבנה רגיל,2.0,11.49,42.17,30.68, ,לא,90864,513-35004,1996.0
35005,מבנה רגיל,2.0,10.76,44.54,33.78, ,לא,100438,513-35005,1984.0
35006,מבנה רגיל,2.0,8.98,45.31,36.33, ,לא,93231,513-35006,1993.0
35007,מבנה רגיל,3.0,11.85,50.92,39.07, ,לא,91019,513-35007,1973.0
35008,מבנה רגיל,2.0,9.55,40.24,30.69, ,לא,91088,513-35008,1984.0
35009,מבנה רגיל,2.0,14.42,44.97,30.55, ,כן,90916,513-35009,1972.0
35010,מבנה רגיל,2.0,13.61,44.33,30.72, ,כן,91082,513-35010,1979.0
35011,מבנה רגיל,2.0,13.33,44.41,31.08, ,כן,90867,513-35011,1975.0
35012,מבנה רגיל,2.0,9.32,58.7,49.38, ,לא,91606,513-35012,1999.0
35013,מבנה רגיל,2.0,7.98,58.88,50.9, ,לא,91603,513-35013,1982.0
35015,מבנה רגיל,3.0,13.05,64.96,51.91, ,לא,91597,513-35015,1990.0
35016,מבנה רגיל,2.0,12.76,60.4,47.64, ,לא,98804,513-35016,1999.0
35017,מבנה רגיל,2.0,10.15,58.74,48.59, ,לא,98815,513-35017,2000.0
35018,מבנה רגיל,2.0,11.06,61.32,50.26, ,לא,98814,513-35018,2000.0
35019,מבנה רגיל,2.0,10.73,57.2,46.47, ,לא,98824,513-35019,2000.0
35020,מבנה רגיל,2.0,12.03,57.52,45.49, ,לא,98825,513-35020,1999.0
35021,מבנה רגיל,2.0,10.87,59.89,49.02, ,לא,130650,513-35021,1999.0
35022,מבנה רגיל,1.0,4.6,41.45,36.85, ,לא,91628,513-35022,1953.0
35023,מבנה רגיל,1.0,8.8,50.72,41.92, ,לא,91789,513-35023,2000.0
35024,מבנה רגיל,1.0,5.99,46.85,40.86, ,לא,90468,513-35024,1960.0
35025,מבנה רגיל,2.0,10.73,63.26,52.53, ,לא,91594,513-35025,2010.0
35026,מבנה רגיל,1.0,8.46,54.26,45.8, ,לא,91781,513-35026,1964.0
35027,מבנה רגיל,2.0,9.09,49.74,40.65, ,לא,91724,513-35027,2001.0
35028,מבנה רגיל,1.0,5.73,56.2,50.47, ,לא,91779,513-35028,2002.0
35030,מבנה ציבור,1.0,2.48,46.48,44.0, ,לא,141848,513-35030,
35031,מבנה רגיל,1.0,9.61,55.52,45.91, ,לא,91816,513-35031,1997.0
35032,מבנה רגיל,2.0,8.53,48.84,40.31, ,לא,91721,513-35032,1951.0
35033,מבנה רגיל,1.0,13.6,67.69,54.09, ,לא,91772,513-35033,1953.0
35034,מבנה רגיל,1.0,11.48,63.31,51.83, ,לא,91769,513-35034,0.0
35035,מבנה רגיל,1.0,10.27,62.43,52.16, ,לא,91589,513-35035,2016.0
35036,מבנה רגיל,1.0,8.43,60.84,52.41, ,לא,91766,513-35036,1999.0
35037,מבנה רגיל,1.0,9.23,59.63,50.4, ,לא,91804,513-35037,2001.0
35038,מבנה רגיל,2.0,8.59,60.13,51.54, ,לא,91805,513-35038,1967.0
35039,מבנה רגיל,1.0,9.84,61.26,51.42, ,לא,91803,513-35039,2016.0
35040,מבנה רגיל,2.0,9.39,61.32,51.93, ,לא,91801,513-35040,1953.0
35042,מבנה רגיל,1.0,6.87,39.97,33.1, ,לא,50551,513-35042,
35043,מבנה רגיל,2.0,15.13,50.97,35.84, ,לא,93234,513-35043,1993.0
35044,מבנה רגיל,2.0,9.5,46.81,37.31, ,כן,93220,513-35044,1979.0
35045,מבנה רגיל,2.0,14.33,45.04,30.71, ,כן,91023,513-35045,1974.0
35046,מבנה רגיל,2.0,12.7,48.69,35.99, ,כן,93229,513-35046,1976.0
35047,מבנה רגיל,1.0,5.79,46.26,40.47, ,לא,91795,513-35047,1951.0
35049,מבנה רגיל,1.0,13.33,52.22,38.89, ,לא,90467,513-35049,1969.0
35050,מבנה בבנייה,1.0,8.27,45.72,37.45, ,לא,91632,513-35050,2009.0
35051,מבנה רגיל,1.0,12.56,51.66,39.1, ,לא,90465,513-35051,1952.0
35052,מבנה רגיל,1.0,8.13,49.53,41.4, ,לא,50548,513-35052,1956.0
35053,מבנה רגיל,3.0,14.58,65.66,51.08, ,לא,91768,513-35053,1998.0
35054,מבנה רגיל,1.0,5.88,56.77,50.89, ,לא,91580,513-35054,1952.0
35055,מבנה רגיל,1.0,8.89,60.25,51.36, ,לא,91577,513-35055,1963.0
35056,מבנה רגיל,2.0,9.05,57.41,48.36, ,לא,91608,513-35056,1954.0
35057,מבנה רגיל,1.0,9.49,47.77,38.28, ,לא,91837,513-35057,1953.0
35058,מבנה רגיל,1.0,5.81,49.15,43.34, ,לא,91793,513-35058,0.0
35060,מבנה רגיל,1.0,5.46,42.43,36.97, ,לא,91629,513-35060,1954.0
35061,מבנה רגיל,2.0,7.95,44.47,36.52, ,לא,91738,513-35061,1966.0
35062,מבנה רגיל,1.0,8.29,52.9,44.61, ,לא,91792,513-35062,2017.0
35063,מבנה רגיל,2.0,15.19,51.23,36.04, ,כן,93230,513-35063,1980.0
35064,מבנה רגיל,1.0,7.51,44.47,36.96, ,לא,91835,513-35064,2016.0
35065,מבנה רגיל,1.0,19.06,56.13,37.07, ,לא,91630,513-35065,1953.0
35066,מבנה רגיל,2.0,14.79,57.7,42.91, ,כן,90979,513-35066,1992.0
35067,מבנה רגיל,1.0,9.3,48.54,39.24, ,לא,90472,513-35067,2003.0
35068,מבנה רגיל,1.0,16.68,56.9,40.22, ,לא,91631,513-35068,1951.0
35069,מבנה רגיל,1.0,8.66,54.68,46.02, ,לא,91791,513-35069,2007.0
35070,מבנה רגיל,1.0,13.25,50.06,36.81, ,לא,91736,513-35070,1956.0
35071,מבנה רגיל,1.0,6.58,46.92,40.34, ,לא,91834,513-35071,1962.0
35072,מבנה רגיל,1.0,6.33,45.99,39.66, ,לא,90470,513-35072,1954.0
35073,מבנה רגיל,1.0,7.43,50.91,43.48, ,לא,91787,513-35073,1965.0
35074,מבנה רגיל,1.0,9.7,56.62,46.92, ,לא,91790,513-35074,0.0
35075,מבנה רגיל,2.0,13.71,54.99,41.28, ,כן,60028,513-35075,1982.0
35077,מבנה רגיל,1.0,10.97,50.86,39.89, ,לא,91826,513-35077,1990.0
35078,מבנה רגיל,1.0,12.2,56.2,44.0, ,לא,91785,513-35078,2001.0
35079,מבנה רגיל,1.0,6.55,44.25,37.7, ,לא,91733,513-35079,1953.0
35080,מבנה רגיל,1.0,17.73,67.21,49.48, ,לא,91788,513-35080,
35081,מבנה רגיל,1.0,11.26,52.93,41.67, ,לא,90982,513-35081,
35082,מבנה רגיל,2.0,12.86,56.88,44.02, ,לא,90989,513-35082,1970.0
35083,מבנה רגיל,1.0,14.1,54.35,40.25, ,לא,90994,513-35083,
35084,מבנה רגיל,1.0,5.02,46.45,41.43, ,לא,91831,513-35084,1958.0
35085,מבנה רגיל,1.0,11.24,54.34,43.1, ,לא,91824,513-35085,1955.0
