iter	RMSE
359	392052.2592
360	391804.8012
361	391457.362
362	391313.7228
363	391150.9488
364	390712.121
365	390612.1867
366	390557.4298
367	390307.6936
368	390202.1324
369	390139.0725
370	389884.6705
371	389717.6843
372	389395.6989
373	389064.5585
374	388863.966
375	388781.0533
376	388636.5228
377	388435.1988
378	388283.964
379	388122.6124
380	388076.8344
381	387682.2466
382	387383.8594
383	386982.1492
384	386742.0515
385	386707.5984
386	386653.282
387	386408.4645
388	386269.6103
389	386190.8055
390	385688.4585
391	385502.6958
392	385303.5008
393	384976.9284
394	384782.461
395	384487.5253
396	384262.1872
397	384093.3945
398	383724.3417
399	383560.5776
400	383384.0933
401	383116.5906
402	383025.094
403	382802.1134
404	382641.4804
405	382272.9353
406	382231.1466
407	382061.3516
408	381765.6931
409	381693.6225
410	381645.976
411	381361.5344
412	381008.0025
413	380693.5106
414	380448.4438
415	380105.6365
416	379749.9904
417	379679.0855
418	379488.3938
419	379289.837
420	379030.5593
421	378862.9352
422	378796.1332
423	378516.3741
424	378216.935
425	377925.8949
426	377817.2929
427	377781.9533
428	377393.2376
429	377264.0649
430	377226.9203
431	377001.1865
432	376701.895
433	376329.9859
434	375880.2214
435	375670.8394
436	375429.7222
437	375187.0335
438	374853.9946
439	374543.2458
440	374221.0589
441	374039.1831
442	373768.2359
443	373507.6618
444	373298.0072
445	373024.5754
446	372818.1282
447	372271.5835
448	371977.1544
449	371906.5123
450	371635.4928
451	371462.931
452	371253.9655
453	371027.6529
454	370853.6076
455	370654.7039
456	370323.869
457	370125.5492
458	370060.8621
459	369820.1057
460	369716.8808
461	369446.6785
462	369273.412
463	368998.1081
464	368584.3711
465	368224.4778
466	368020.2251
467	367728.1208
468	367400.8428
469	367161.5575
470	366864.1346
471	366636.6892
472	366278.5348
473	366008.608
474	365731.7644
475	365381.7867
476	365225.4765
477	364919.5286
478	364650.7042
479	364436.7926
480	364067.7992
481	363746.9383
482	363528.0107
483	363360.3519
484	363181.3199
485	362979.9496
486	362654.4589
487	362530.507
488	362241.3779
489	362145.1387
490	361844.3152
491	361563.5764
492	361457.9359
493	361323.2973
494	361113.1567
495	360781.3934
496	360510.2159
497	360357.1632
498	360161.1536
499	360102.1104
500	359888.5512
501	359697.4396
502	359520.8737
503	359271.6187
504	359162.1139
505	358990.9957
506	358733.0108
507	358570.7394
508	358549.3708
509	358293.6251
510	358109.0082
511	358090.5687
512	357856.2565
513	357520.5371
514	357280.7287
515	357137.4687
516	356859.4969
517	356759.1525
518	356584.4967
519	356530.8583
520	356387.1623
521	356103.0284
522	355777.881
523	355653.18
524	355543.9828
525	355402.2029
526	355177.7483
527	354798.5521
528	354588.4092
529	354306.4746
530	354158.3565
531	353995.7649
532	353784.4194
533	353554.2916
534	353304.2986
535	353113.7066
536	353070.1551
537	352965.6037
538	352743.5312
539	352357.52
540	352029.587
541	351928.5974
542	351753.2509
543	351651.2738
544	351376.685
545	351291.3711
546	350965.5794
547	350743.7997
548	350412.513
549	350329.3336
550	350070.102
551	349738.0834
552	349526.5937
553	349454.8684
554	349388.1759
555	349218.0071
556	348863.1913
557	348523.6204
558	348156.8988
559	348056.4951
560	347893.6385
561	347623.3289
562	347404.7447
563	347109.5751
564	346958.8701
565	346787.906
566	346428.2062
567	346160.0564
568	345965.9444
569	345752.4231
570	345541.4071
571	345347.0786
572	345108.1995
573	344939.4194
574	344738.8448
575	344588.5594
576	344554.8958
577	344435.4194
578	344122.5527
579	343867.9639
580	343762.6958
581	343614.1758
582	343333.6229
583	343069.4339
584	342966.4716
585	342629.9853
586	342368.2568
587	342232.5824
588	342000.8004
589	341704.0575
590	341463.1397
591	341055.0971
592	340879.9432
593	340656.941
594	340437.6667
595	340295.1421
596	339793.4973
597	339355.654
598	339297.1395
599	339141.4663
600	338855.8829
601	338700.4148
602	338460.8788
603	338351.8455
604	338250.7238
605	337976.3702
606	337874.1882
607	337621.2768
608	337565.1247
609	337376.9288
610	337198.556
611	337041.5148
612	336724.0042
613	336459.8386
614	336283.1828
615	336006.0647
616	335793.8448
617	335481.4151
618	335244.6852
619	334988.6654
620	334877.9495
621	334591.2912
622	334481.4182
623	334303.3312
624	334208.8973
625	333975.4445
626	333818.3351
627	333563.4242
628	333341.8044
629	333214.1072
630	333007.6477
631	332857.2401
632	332843.0759
633	332387.5709
634	332263.7136
635	332040.7827
636	331887.8908
637	331638.0158
638	331430.3362
639	331199.9435
640	330929.8908
641	330650.945
642	330444.2665
643	330262.9381
644	330149.1824
645	329876.3373
646	329706.7118
647	329534.0159
648	329396.3694
649	329089.6503
650	328939.1694
651	328895.0368
652	328741.3679
653	328487.0904
654	328329.2786
655	328020.4034
656	327943.2899
657	327814.9963
658	327562.7638
659	327384.0743
660	327280.5153
661	327173.842
662	326884.8276
663	326485.5723
664	326324.3751
665	326092.764
666	326027.686
667	325766.575
668	325385.3397
669	325138.7277
670	324908.5101
671	324692.9116
672	324519.7254
673	324371.608
674	324019.1452
675	323858.4161
676	323756.1365
677	323601.792
678	323415.3242
679	323274.0186
680	323104.4003
681	322937.473
682	322716.2252
683	322667.772
684	322470.4135
685	322322.1951
686	322098.5043
687	321923.0907
688	321636.3854
689	321562.5984
690	321277.3736
691	321236.1371
692	320992.0446
693	320855.1125
694	320761.508
695	320597.2783
696	320407.3731
697	320266.6039
698	320194.1122
699	320053.2479
700	319760.5321
701	319686.3259
702	319554.4798
703	319540.9824
704	319423.0912
705	319193.625
706	319078.5697
707	318925.9222
708	318787.1063
709	318597.7318
710	318503.2615
711	318321.4832
712	318000.0546
713	317768.9079
714	317601.7521
715	317474.4182
716	317255.1952
717	317160.5155
718	317002.0525
719	316928.1848
720	316807.0404
721	316652.6701
722	316554.0306
723	316388.7845
724	316185.6843
725	316150.3006
726	315947.8058
727	315785.0454
728	315509.9408
729	315383.6626
730	315207.3368
731	315043.5948
732	315031.8714
733	314875.0671
734	314698.404
735	314528.0775
736	314461.4085
737	314250.8246
738	314210.003
739	314105.4112
740	313947.6898
741	313744.3235
742	313534.0155
743	313408.4565
744	313284.168
745	313266.0284
746	313121.9402
747	312952.377
748	312728.1628
749	312517.2638
750	312366.7956
751	312188.4956
752	312056.5957
753	312007.9101
754	311910.6936
755	311762.852
756	311462.8574
757	311176.5901
758	311017.689
759	310809.0042
760	310536.3162
761	310426.5992
762	310202.6564
763	310050.3698
764	309756.6966
765	309523.528
766	309340.6576
767	309272.1373
768	309145.5653
769	308957.2116
770	308813.2693
771	308810.7558
772	308622.081
773	308500.491
774	308300.1076
775	308119.4035
776	307815.3366
777	307588.0679
778	307298.4816
779	307117.1083
780	307001.8371
781	306680.9964
782	306528.7211
783	306389.7198
784	306136.0773
785	305949.2228
786	305714.1776
787	305587.0471
788	305559.4245
789	305447.3862
790	305343.3558
791	305222.127
792	305119.141
793	305024.8165
794	305008.6322
795	304843.4804
796	304659.777
797	304487.4355
798	304223.1563
799	304036.551
800	303827.1024
801	303793.5932
802	303759.646
803	303416.8248
804	303282.8099
805	303126.2725
806	302917.0257
807	302811.7642
808	302618.4196
809	302512.7782
810	302494.3105
811	302406.4143
812	302224.4801
813	302089.0898
814	302030.8048
815	301859.9832
816	301748.5672
817	301596.7447
818	301410.3436
819	301249.7923
820	301099.6833
821	300884.465
822	300808.8443
823	300656.8501
824	300609.0178
825	300425.7934
826	300257.6777
827	300064.1306
828	299938.1834
829	299755.0349
830	299583.2308
831	299408.6243
832	299274.566
833	299013.7564
834	298836.1141
835	298717.2359
836	298530.4738
837	298378.6219
838	298072.8673
839	297883.2478
840	297661.7243
841	297485.8746
842	297178.6954
843	296879.586
844	296695.3787
845	296599.7651
846	296386.7293
847	296292.6945
848	296101.0819
849	295988.3612
850	295904.0561
851	295681.0325
852	295548.0543
853	295418.3244
854	295225.9355
855	295052.446
856	294861.6096
857	294770.7907
858	294613.2771
859	294427.0047
860	294182.3499
861	293934.5875
862	293805.0139
863	293726.1703
864	293530.8608
865	293346.9088
866	293169.1058
867	292964.8707
868	292838.675
869	292668.4961
870	292508.6419
871	292362.3466
872	292072.699
873	291881.5272
874	291803.9249
875	291662.2599
876	291552.8344
877	291423.8882
878	291138.0409
879	290985.4295
880	290826.3855
881	290657.0936
882	290568.1526
883	290396.0763
884	290075.9689
885	289855.7169
886	289720.0536
887	289506.1363
888	289180.6078
889	289014.0506
890	288893.9661
891	288650.8866
892	288519.3643
893	288309.9835
894	288079.8298
895	287995.2096
896	287840.4452
897	287665.1532
898	287563.7082
899	287463.1747
900	287283.2804
901	286971.5928
902	286823.1405
903	286709.1157
904	286606.8944
905	286357.3882
906	286167.1417
907	285905.7117
908	285810.0007
909	285571.6634
910	285368.1351
911	285278.3648
912	285095.8962
913	284939.3298
914	284725.3344
915	284676.4343
916	284542.2687
917	284472.7217
918	284428.5728
919	284183.9978
920	284069.9972
921	283951.6756
922	283773.7005
923	283593.0602
924	283557.6423
925	283487.9649
926	283393.3213
927	283324.9079
928	283273.0984
929	283178.4598
930	283074.7132
931	282982.3865
932	282847.4123
933	282733.291
934	282556.7958
935	282361.5328
936	282248.8333
937	282123.7391
938	281996.0983
939	281786.5879
940	281690.8974
941	281351.7614
942	281243.8397
943	281154.084
944	281004.1734
945	280877.1699
946	280649.8043
947	280435.2012
948	280201.6162
949	280082.8934
950	280055.6538
951	279915.494
952	279762.015
953	279542.6581
954	279304.2306
955	279299.3063
956	279176.6836
957	279074.4569
958	278943.1141
959	278787.1324
960	278577.2076
961	278472.5919
962	278339.1761
963	278149.0742
964	278042.3044
965	277922.4921
966	277729.2264
967	277555.0366
968	277491.1025
969	277373.3522
970	277303.2562
971	277133.7912
972	277060.2996
973	276896.2317
974	276643.8224
975	276542.1299
976	276451.7579
977	276344.6275
978	276245.4209
979	275971.2413
980	275809.8201
981	275633.8834
982	275616.0051
983	275568.3632
984	275375.6016
985	275260.2736
986	275133.964
987	274915.3454
988	274824.9862
989	274732.8337
990	274526.8444
991	274331.223
992	274216.317
993	274002.5598
994	273849.8027
995	273718.5816
996	273589.7968
997	273481.1672
998	273332.971
999	273235.3131
1000	273164.6155
1001	272805.5154
1002	272740.4182
1003	272650.9415
1004	272533.8621
1005	272344.3456
1006	272137.0915
1007	272009.316
1008	271897.2749
1009	271793.4199
1010	271790.8937
1011	271571.2514
1012	271419.587
1013	271255.492
1014	271082.1869
1015	270844.3386
1016	270683.1029
1017	270455.7004
1018	270304.2565
1019	270010.103
1020	269940.2182
1021	269793.6122
1022	269722.3224
1023	269559.9797
1024	269449.5303
1025	269382.9755
1026	269241.6087
1027	269120.0019
1028	268928.9474
1029	268702.5523
1030	268540.6191
1031	268374.8933
1032	268258.9267
1033	268076.3525
1034	267968.3117
1035	267784.6321
1036	267642.1106
1037	267545.3781
1038	267415.0659
1039	267322.6561
1040	267169.9227
1041	266946.0074
1042	266836.2847
1043	266727.6669
1044	266440.5839
1045	266239.4478
1046	265994.1392
1047	265877.1835
1048	265711.1268
1049	265536.9726
1050	265488.3886
1051	265329.3832
1052	265164.5784
1053	265024.3351
1054	264889.7726
1055	264801.3305
1056	264698.3369
1057	264477.6834
1058	264340.9961
1059	264134.0566
1060	263948.2243
1061	263863.3515
1062	263752.9628
1063	263602.4716
1064	263513.2892
1065	263359.5741
1066	263282.6778
1067	263098.9722
1068	263003.3353
1069	262833.6571
1070	262669.4477
1071	262496.725
1072	262378.5616
1073	262276.2269
1074	262149.97
1075	262002.4038
1076	261928.201
1077	261818.753
1078	261741.1385
1079	261629.8856
1080	261475.0518
1081	261347.8093
1082	261255.6124
1083	261134.7051
1084	261089.5922
1085	260972.5836
1086	260758.3381
1087	260675.8626
1088	260575.2142
1089	260455.1273
1090	260300.3867
1091	260094.6092
1092	259971.5188
1093	259917.3909
1094	259785.4739
1095	259630.8278
1096	259553.9123
1097	259426.5232
1098	259328.6808
1099	259266.2205
1100	259158.7133
1101	258946.638
1102	258802.2088
1103	258697.8355
1104	258563.0011
1105	258416.784
1106	258278.3789
1107	258179.8831
1108	258041.1851
1109	257928.6841
1110	257852.5905
1111	257806.0109
1112	257748.6319
1113	257548.0781
1114	257392.3301
1115	257200.9275
1116	256986.8981
1117	256905.9754
1118	256793.5742
1119	256637.8665
1120	256488.8652
1121	256388.3946
1122	256292.2115
1123	256182.0187
1124	256069.8278
1125	255949.2116
1126	255794.3134
1127	255701.083
1128	255648.315
1129	255619.3282
1130	255377.9138
1131	255273.6579
1132	255218.1575
1133	255054.7553
1134	254999.5362
1135	254891.292
1136	254833.9099
1137	254719.7191
1138	254642.6938
1139	254613.9074
1140	254556.7103
1141	254407.8341
1142	254244.4153
1143	254115.0869
1144	254048.4372
1145	253958.4708
1146	253773.2407
1147	253707.0417
1148	253581.6709
1149	253379.5841
1150	253194.9243
1151	253042.244
1152	252889.6971
1153	252793.8369
1154	252581.4672
1155	252469.4283
1156	252312.0644
1157	252261.0267
1158	252196.634
1159	252077.207
1160	251972.1426
1161	251807.5343
1162	251599.7401
1163	251288.4324
1164	251171.9489
1165	251118.3731
1166	250962.63
1167	250855.4083
1168	250836.0767
1169	250753.7766
1170	250629.1068
1171	250467.4082
1172	250406.9926
1173	250206.8477
1174	250148.7107
1175	250010.5901
1176	249735.8369
1177	249515.4634
1178	249456.0637
1179	249332.4608
1180	249245.6649
1181	249029.4658
1182	248941.4092
1183	248812.6999
1184	248661.2659
1185	248540.6873
1186	248345.3887
1187	248265.5319
1188	248125.6654
1189	247999.7779
1190	247881.341
1191	247783.1345
1192	247701.9729
1193	247561.1227
1194	247391.4592
1195	247232.2521
1196	247103.7125
1197	247034.2222
1198	246922.8691
1199	246817.3863
1200	246705.5501
1201	246660.2486
1202	246565.2727
1203	246503.1119
1204	246359.773
1205	246209.4688
1206	246141.8008
1207	245954.2011
1208	245901.6664
1209	245812.8255
1210	245702.9625
1211	245632.7095
1212	245537.2709
1213	245401.7429
1214	245221.3376
1215	245096.0051
1216	244990.6873
1217	244897.7998
1218	244719.7651
1219	244686.1067
1220	244620.4669
1221	244523.314
1222	244392.2365
1223	244305.6538
1224	244226.0763
1225	244131.1869
1226	244055.9054
1227	243970.6329
1228	243846.5732
1229	243709.9266
1230	243522.0103
1231	243433.91
1232	243318.7907
1233	243211.585
1234	243105.7006
1235	242976.3627
1236	242831.137
1237	242789.2394
1238	242601.501
1239	242521.8146
1240	242370.5791
1241	242318.9114
1242	242194.5786
1243	242117.9913
1244	241979.9644
1245	241850.0051
1246	241757.9519
1247	241613.8993
1248	241522.3003
1249	241424.3988
1250	241285.3846
1251	241201.0159
1252	241105.8085
1253	241027.7617
1254	240933.213
1255	240778.568
1256	240657.7543
1257	240470.6579
1258	240438.5961
1259	240313.7051
1260	240108.2255
1261	240101.7988
1262	240005.9378
1263	239917.7996
1264	239707.8206
1265	239570.4307
1266	239450.5603
1267	239258.1384
1268	239151.8945
1269	239042.3786
1270	238933.6975
1271	238851.3923
1272	238679.861
1273	238586.3409
1274	238503.2141
1275	238330.0447
1276	238219.8795
1277	238010.8292
1278	237950.9716
1279	237838.9628
1280	237659.5971
1281	237603.8971
1282	237601.347
1283	237422.2596
1284	237265.1275
1285	237124.2548
1286	237029.9063
1287	236970.3485
1288	236801.5403
1289	236765.5973
1290	236665.5348
1291	236499.7516
1292	236366.0688
1293	236188.4911
1294	236084.4135
1295	236003.5863
1296	235898.4177
1297	235778.3677
1298	235688.3626
1299	235565.7015
1300	235409.8477
1301	235266.5922
1302	235153.3251
1303	234988.3331
1304	234852.5436
1305	234631.4178
1306	234573.7981
1307	234483.6244
1308	234321.1658
1309	234099.2468
1310	234045.5877
1311	234035.2254
1312	233895.3783
1313	233729.1261
1314	233666.7666
1315	233461.1029
1316	233329.3039
1317	233128.2408
1318	233034.7334
1319	232992.3049
1320	232968.2702
1321	232745.3199
1322	232593.604
1323	232573.8621
1324	232490.8128
1325	232483.9153
1326	232411.0023
1327	232410.0803
1328	232332.2584
1329	232228.5084
1330	232200.4274
1331	232172.2877
1332	232054.7209
1333	231963.6994
1334	231864.9701
1335	231600.8164
1336	231515.7529
1337	231367.7598
1338	231270.3508
1339	231268.7271
1340	231183.6428
1341	231160.0003
1342	230949.9602
1343	230852.6738
1344	230756.9027
1345	230668.7237
1346	230524.2055
1347	230365.1557
1348	230203.8855
1349	230146.9153
1350	229982.4926
1351	229846.9439
1352	229755.5109
1353	229629.0991
1354	229472.3796
1355	229375.0098
1356	229265.2316
1357	229136.9029
1358	229067.4122
1359	228938.9794
1360	228793.8939
1361	228708.4118
1362	228571.8855
1363	228409.1185
1364	228325.3022
1365	228169.5303
1366	228051.8926
1367	227870.0354
1368	227782.69
1369	227644.2408
1370	227504.9628
1371	227472.9315
1372	227426.6415
1373	227214.9921
1374	227003.188
1375	226890.3382
1376	226794.2175
1377	226753.1536
1378	226746.4158
1379	226641.299
1380	226589.8363
1381	226549.9303
1382	226427.5476
1383	226294.0458
1384	226192.8652
1385	226010.5407
1386	225789.8942
1387	225624.6243
1388	225532.8078
1389	225386.9859
1390	225377.1207
1391	225233.3878
1392	225032.4446
1393	224899.2762
1394	224810.4237
1395	224692.6433
1396	224516.7939
1397	224344.1389
1398	224326.3745
1399	224275.6928
1400	224194.07
1401	224134.9333
1402	224015.3377
1403	223953.8369
1404	223921.1424
1405	223799.4352
1406	223708.7347
1407	223508.548
1408	223415.1296
1409	223304.2984
1410	223281.0131
1411	223133.0743
1412	223025.9751
1413	222922.6859
1414	222839.5529
1415	222724.4013
1416	222682.1948
1417	222558.5274
1418	222370.209
1419	222349.089
1420	222314.7942
1421	222235.0524
1422	222136.1586
1423	221934.0759
1424	221781.678
1425	221769.0677
1426	221708.0989
1427	221570.5893
1428	221516.4209
1429	221454.872
1430	221376.0894
1431	221339.8788
1432	221257.1409
1433	221139.3134
1434	221057.1923
1435	220936.2006
1436	220849.6287
1437	220693.8755
1438	220647.7081
1439	220601.557
1440	220524.9517
1441	220435.7233
1442	220314.571
1443	220260.3991
1444	220153.109
1445	220012.7508
1446	219924.9997
1447	219848.0117
1448	219760.6796
1449	219759.4699
1450	219730.369
1451	219647.5113
1452	219526.0728
1453	219465.8269
1454	219353.9118
1455	219288.195
1456	219100.0347
1457	218953.503
1458	218789.4398
1459	218707.4091
1460	218664.5878
1461	218596.9241
1462	218534.4131
1463	218395.9071
1464	218344.1694
1465	218326.7522
1466	218282.1544
1467	218222.039
1468	218139.1221
1469	218020.7183
1470	217886.1711
1471	217847.5439
1472	217781.3173
1473	217581.4129
1474	217471.4226
1475	217253.24
1476	217128.2633
1477	217068.3766
1478	217005.627
1479	216840.3643
1480	216665.6358
1481	216623.2873
1482	216562.552
1483	216476.2131
1484	216404.0787
1485	216345.9848
1486	216143.1068
1487	216020.8855
1488	215947.867
1489	215848.3926
1490	215707.7766
1491	215665.8002
1492	215586.6233
1493	215446.8877
1494	215354.2119
1495	215247.7188
1496	215166.241
1497	215107.5241
1498	215027.0884
1499	214925.5715
9955.2555
