iter	Passed	Remaining
399	34886	95938
400	34956	95803
401	35044	95717
402	35132	95634
403	35218	95543
404	35300	95442
405	35358	95275
406	35453	95211
407	35562	95182
408	35635	95057
409	35748	95038
410	35834	94947
411	35907	94824
412	36010	94777
413	36104	94708
414	36187	94610
415	36274	94521
416	36375	94470
417	36465	94390
418	36548	94294
419	36630	94192
420	36729	94135
421	36798	94001
422	36888	93922
423	36999	93894
424	37117	93885
425	37187	93755
426	37251	93608
427	37338	93521
428	37421	93422
429	37520	93364
430	37607	93276
431	37688	93175
432	37770	93073
433	37847	92960
434	37922	92845
435	38016	92774
436	38091	92657
437	38198	92618
438	38321	92616
439	38396	92501
440	38484	92415
441	38585	92361
442	38673	92274
443	38749	92161
444	38840	92082
445	38936	92015
446	39029	91940
447	39115	91850
448	39197	91752
449	39276	91645
450	39381	91600
451	39462	91497
452	39555	91423
453	39618	91278
454	39718	91220
455	39794	91107
456	39890	91041
457	39963	90922
458	40055	90845
459	40148	90770
460	40251	90718
461	40368	90698
462	40431	90555
463	40522	90477
464	40623	90420
465	40700	90309
466	40767	90177
467	40845	90070
468	40952	90025
469	41026	89909
470	41094	89779
471	41211	89757
472	41298	89669
473	41363	89533
474	41446	89437
475	41527	89336
476	41601	89221
477	41678	89112
478	41766	89027
479	41862	88957
480	41968	88909
481	42083	88882
482	42168	88789
483	42261	88713
484	42350	88631
485	42447	88562
486	42545	88498
487	42634	88413
488	42712	88306
489	42807	88236
490	42877	88112
491	42959	88014
492	43048	87930
493	43104	87778
494	43227	87765
495	43342	87733
496	43426	87639
497	43517	87559
498	43616	87494
499	43685	87370
500	43783	87303
501	43865	87206
502	43945	87103
503	44044	87040
504	44115	86921
505	44197	86823
506	44273	86713
507	44348	86602
508	44427	86497
509	44504	86391
510	44593	86307
511	44672	86204
512	44721	86043
513	44811	85961
514	44898	85874
515	44983	85782
516	45062	85679
517	45158	85610
518	45235	85503
519	45323	85417
520	45427	85361
521	45519	85283
522	45608	85199
523	45712	85143
524	45811	85077
525	45892	84979
526	45970	84876
527	46059	84791
528	46156	84722
529	46238	84625
530	46327	84541
531	46411	84448
532	46510	84381
533	46604	84307
534	46679	84198
535	46753	84087
536	46841	84000
537	46919	83896
538	47002	83802
539	47037	83623
540	47130	83545
541	47211	83448
542	47281	83329
543	47366	83239
544	47435	83120
545	47535	83057
546	47610	82948
547	47700	82866
548	47784	82773
549	47899	82736
550	47964	82611
551	47976	82394
552	48056	82295
553	48142	82206
554	48225	82114
555	48309	82022
556	48405	81950
557	48484	81849
558	48598	81809
559	48668	81694
560	48754	81604
561	48832	81503
562	48945	81459
563	49028	81367
564	49101	81256
565	49177	81152
566	49265	81066
567	49343	80964
568	49469	80942
569	49544	80835
570	49640	80763
571	49725	80673
572	49823	80604
573	49925	80541
574	50004	80442
575	50079	80336
576	50163	80244
577	50236	80135
578	50345	80082
579	50412	79963
580	50492	79867
581	50583	79786
582	50672	79702
583	50758	79614
584	50846	79529
585	50918	79419
586	51006	79333
587	51096	79251
588	51178	79157
589	51265	79070
590	51338	78962
591	51403	78841
592	51468	78721
593	51540	78612
594	51614	78505
