iter	Passed	Remaining
408	3710	825
409	3716	815
410	3722	806
411	3728	796
412	3733	786
413	3737	776
414	3741	766
415	3745	756
416	3748	746
417	3752	736
418	3755	725
419	3758	715
420	3763	706
421	3767	696
422	3771	686
423	3775	676
424	3779	667
425	3782	657
426	3786	647
427	3790	637
428	3793	627
429	3798	618
430	3857	617
431	3862	608
432	3867	598
433	3872	588
434	3877	579
435	3882	569
436	3887	560
437	3893	551
438	3916	544
439	3921	534
440	3926	525
441	3931	515
442	3936	506
443	3940	497
444	3945	487
445	3950	478
446	3955	468
447	3960	459
448	3964	450
449	3971	441
450	3980	432
451	3988	423
452	3994	414
453	4002	405
454	4008	396
455	4013	387
456	4018	378
457	4025	369
458	4030	360
459	4035	350
460	4040	341
461	4044	332
462	4048	323
463	4051	314
464	4056	305
465	4060	296
466	4063	287
467	4067	278
468	4087	270
469	4091	261
470	4094	252
471	4101	243
472	4105	234
473	4108	225
474	4111	216
475	4114	207
476	4117	198
477	4121	189
478	4124	180
479	4127	171
480	4131	163
481	4134	154
482	4138	145
483	4141	136
484	4144	128
485	4148	119
486	4151	110
487	4154	102
488	4157	93
489	4160	84
490	4163	76
491	4166	67
492	4169	59
493	4172	50
494	4176	42
495	4179	33
496	4182	25
497	4185	16
498	4189	8
499	4193	0
	4984	9
499	4988	0
498	6352	12
499	6356	0
7250	14
499	7253	0
0
6604	13
499	6609	0
494	9128	92
495	9138	73
496	9154	55
497	9165	36
498	9191	18
499	9206	0
